realtime_start;realtime_end;date;value
23 December 2019;2019-12-23;1/12/1947;.
23 December 2019;2019-12-23;1/8/1948;.
23 December 2019;2019-12-23;22/9/1950;.
23 December 2019;2019-12-23;8/1/1951;.
23 December 2019;2019-12-23;17/10/1951;.
23 December 2019;2019-12-23;19/12/1951;.
23 December 2019;2019-12-23;27/4/1953;.
23 December 2019;2019-12-23;17/3/1954;.
23 December 2019;2019-12-23;4/8/1955;3.25
23 December 2019;2019-12-23;14/10/1955;3.5
23 December 2019;2019-12-23;13/4/1956;3.75
23 December 2019;2019-12-23;21/8/1956;4
23 December 2019;2019-12-23;6/8/1957;4.5
23 December 2019;2019-12-23;22/1/1958;4
23 December 2019;2019-12-23;21/4/1958;3.5
23 December 2019;2019-12-23;11/9/1958;4
23 December 2019;2019-12-23;18/5/1959;4.5
23 December 2019;2019-12-23;1/9/1959;5
23 December 2019;2019-12-23;23/8/1960;4.5
23 December 2019;2019-12-23;6/12/1965;5
23 December 2019;2019-12-23;10/3/1966;5.5
23 December 2019;2019-12-23;29/6/1966;5.75
23 December 2019;2019-12-23;16/8/1966;6
23 December 2019;2019-12-23;26/1/1967;5.75
23 December 2019;2019-12-23;27/3/1967;5.5
23 December 2019;2019-12-23;20/11/1967;6
23 December 2019;2019-12-23;19/4/1968;6.5
23 December 2019;2019-12-23;25/9/1968;6.25
23 December 2019;2019-12-23;2/12/1968;6.5
23 December 2019;2019-12-23;18/12/1968;6.75
23 December 2019;2019-12-23;7/1/1969;7
23 December 2019;2019-12-23;17/3/1969;7.5
23 December 2019;2019-12-23;9/6/1969;8.5
23 December 2019;2019-12-23;25/3/1970;8
23 December 2019;2019-12-23;21/9/1970;7.5
23 December 2019;2019-12-23;12/11/1970;7.25
23 December 2019;2019-12-23;23/11/1970;7
23 December 2019;2019-12-23;22/12/1970;6.75
23 December 2019;2019-12-23;6/1/1971;6.5
23 December 2019;2019-12-23;15/1/1971;6.25
23 December 2019;2019-12-23;18/1/1971;6
23 December 2019;2019-12-23;16/2/1971;5.75
23 December 2019;2019-12-23;11/3/1971;5.5
23 December 2019;2019-12-23;19/3/1971;5.25
23 December 2019;2019-12-23;23/4/1971;5.5
23 December 2019;2019-12-23;7/7/1971;6
23 December 2019;2019-12-23;20/10/1971;5.75
23 December 2019;2019-12-23;8/11/1971;5.5
23 December 2019;2019-12-23;17/12/1971;5.25
23 December 2019;2019-12-23;3/1/1972;5
23 December 2019;2019-12-23;18/1/1972;4.75
23 December 2019;2019-12-23;16/2/1972;4.5
23 December 2019;2019-12-23;20/3/1972;4.75
23 December 2019;2019-12-23;31/3/1972;5
23 December 2019;2019-12-23;27/6/1972;5.25
23 December 2019;2019-12-23;29/8/1972;5.5
23 December 2019;2019-12-23;3/10/1972;5.75
23 December 2019;2019-12-23;27/12/1972;6
23 December 2019;2019-12-23;27/2/1973;6.25
23 December 2019;2019-12-23;26/3/1973;6.5
23 December 2019;2019-12-23;19/4/1973;6.75
23 December 2019;2019-12-23;7/5/1973;7
23 December 2019;2019-12-23;25/5/1973;7.25
23 December 2019;2019-12-23;7/6/1973;7.5
23 December 2019;2019-12-23;22/6/1973;7.75
23 December 2019;2019-12-23;2/7/1973;8
23 December 2019;2019-12-23;9/7/1973;8.25
23 December 2019;2019-12-23;18/7/1973;8.5
23 December 2019;2019-12-23;30/7/1973;8.75
23 December 2019;2019-12-23;6/8/1973;9
23 December 2019;2019-12-23;13/8/1973;9.25
23 December 2019;2019-12-23;21/8/1973;9.5
23 December 2019;2019-12-23;28/8/1973;9.75
23 December 2019;2019-12-23;18/9/1973;10
23 December 2019;2019-12-23;23/10/1973;9.75
23 December 2019;2019-12-23;29/10/1973;9.5
23 December 2019;2019-12-23;3/12/1973;9.75
23 December 2019;2019-12-23;29/1/1974;9.5
23 December 2019;2019-12-23;11/2/1974;9.25
23 December 2019;2019-12-23;19/2/1974;9
23 December 2019;2019-12-23;25/2/1974;8.75
23 December 2019;2019-12-23;22/3/1974;9
23 December 2019;2019-12-23;1/4/1974;9.25
23 December 2019;2019-12-23;4/4/1974;9.5
23 December 2019;2019-12-23;8/4/1974;9.75
23 December 2019;2019-12-23;11/4/1974;10
23 December 2019;2019-12-23;22/4/1974;10.25
23 December 2019;2019-12-23;25/4/1974;10.5
23 December 2019;2019-12-23;2/5/1974;10.75
23 December 2019;2019-12-23;7/5/1974;11
23 December 2019;2019-12-23;10/5/1974;11.25
23 December 2019;2019-12-23;17/5/1974;11.5
23 December 2019;2019-12-23;27/6/1974;11.75
23 December 2019;2019-12-23;8/7/1974;12
23 December 2019;2019-12-23;8/10/1974;11.75
23 December 2019;2019-12-23;22/10/1974;11.25
23 December 2019;2019-12-23;6/11/1974;11
23 December 2019;2019-12-23;13/11/1974;10.75
23 December 2019;2019-12-23;25/11/1974;10.25
23 December 2019;2019-12-23;13/1/1975;10
23 December 2019;2019-12-23;28/1/1975;9.5
23 December 2019;2019-12-23;3/2/1975;9
23 December 2019;2019-12-23;18/2/1975;8.75
23 December 2019;2019-12-23;24/2/1975;8.5
23 December 2019;2019-12-23;3/3/1975;8.25
23 December 2019;2019-12-23;10/3/1975;8
23 December 2019;2019-12-23;19/3/1975;7.75
23 December 2019;2019-12-23;25/3/1975;7.5
23 December 2019;2019-12-23;20/5/1975;7.25
23 December 2019;2019-12-23;9/6/1975;7
23 December 2019;2019-12-23;18/7/1975;7.25
23 December 2019;2019-12-23;25/7/1975;7.5
23 December 2019;2019-12-23;11/8/1975;7.75
23 December 2019;2019-12-23;15/9/1975;8
